 ,Area,X,Y,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
275,9,2572.167,4612.389,2570,4611,4,3,1.000,4.472,2570,4613,26.565,3.000,1.340,0.746,0.857
276,143,3116.556,4632.318,3094,4622,38,19,0.202,42.485,3094,4641,26.565,8.944,5.745,0.174,0.601
277,11,3556.591,4623.682,3554,4622,5,3,0.780,5.831,3554,4622,149.036,3.000,1.921,0.521,0.786
278,46,926.152,4626.326,922,4623,9,7,0.677,10.000,922,4623,143.130,7.000,1.316,0.760,0.829
279,417,2225.742,4680.984,2214,4669,24,23,0.891,25.080,2214,4686,23.499,23.000,1.049,0.953,0.935
280,4,3192.000,4676.000,3191,4675,2,2,1.000,2.828,3191,4675,135.000,2.000,1.000,1.000,1.000
281,16,5450.750,4678.875,5448,4677,5,4,1.000,5.657,5449,4681,45.000,4.000,1.150,0.869,0.889
282,4,6448.000,4706.500,6447,4705,2,3,0.857,3.606,6447,4708,56.310,2.000,2.031,0.492,0.800
283,75,3881.807,4729.527,3876,4725,11,9,0.967,11.705,3876,4728,160.017,9.000,1.232,0.812,0.904
284,7,3049.071,4748.643,3047,4747,4,3,0.800,5.000,3047,4747,143.130,2.530,2.408,0.415,0.737
285,23,5968.065,4754.587,5965,4752,6,5,1.000,6.708,5965,4753,153.435,5.000,1.317,0.759,0.868
286,702,5412.150,4770.385,5397,4755,31,31,0.854,33.015,5404,4756,125.134,28.892,1.134,0.881,0.938
287,24,3907.375,4766.292,3904,4764,6,5,1.000,6.708,3904,4765,153.435,5.000,1.108,0.902,0.906
288,32,1316.031,4787.125,1312,4784,8,6,0.803,8.944,1312,4789,26.565,5.692,1.722,0.581,0.831
289,24,6413.250,4806.208,6410,4803,6,6,0.978,6.708,6410,4807,26.565,6.000,1.117,0.895,0.828
290,5,3851.500,4806.500,3850,4805,3,3,0.873,3.162,3851,4805,108.435,2.828,1.000,1.000,0.714
291,32,6412.906,4825.750,6408,4823,9,5,0.762,9.487,6408,4827,18.435,5.000,1.930,0.518,0.821
292,18,1548.500,4830.833,1546,4829,5,4,1.000,5.831,1546,4829,149.036,4.000,1.248,0.801,0.947
293,9,1416.056,4834.611,1414,4833,4,3,1.000,5.000,1414,4836,36.870,3.000,1.817,0.550,0.857
294,9,5125.833,4840.278,5124,4839,4,3,1.000,4.472,5124,4841,26.565,3.000,1.185,0.844,0.857
295,16,5131.125,4847.500,5129,4845,4,5,1.000,5.831,5130,4845,120.964,4.000,1.262,0.792,0.889
